Gene_name	target	ADHD_evidence	other_Neuro	SFARI	x	y
STXBP5L	1	0	0	0	-2.4729794114804866	0.9154425370538366
NCAPG	1	0	0	0	-2.886113898899373	3.152654558550939
PAICS	1	0	0	0	-2.845202852125511	2.8142198318243445
PRKN	1	1	0	1	-1.7620793953700498	1.0440061802973513
ZAP70	1	0	0	0	-3.9736282973503867	2.2395422334768695
STRC	1	0	0	0	-1.7356202345508416	-0.3082909618977734
TEFM	1	0	0	0	-2.5521110902142965	3.7955142059183546
RAB2A	1	0	0	1	-0.3571281012522993	3.039495470292018
PPIP5K1	1	0	0	0	-1.9194804216205599	-0.25819716329130804
LCORL	1	0	0	0	-3.0900881036560106	3.4424136685530495
IQGAP1	1	0	0	0	-1.5331916777408787	1.790204534143692
MCPH1	1	0	0	1	-2.2508318499955786	2.7875854190565836
DCAF16	1	0	0	0	-3.236302147408424	3.3862101329703953
OSBP2	1	0	0	0	-2.3421697924466676	1.0296900677175693
JMJD1C	1	0	0	1	-1.8307387742620764	2.714602688015778
MRTO4	1	0	0	0	-3.285925985962808	2.747641870073821
CA10	1	0	0	0	-2.4850416648467064	0.24290288772804391
ASAP1	1	0	0	0	0.11986935025639012	2.4252981298993705
EIF2AK3	1	0	0	0	-1.0890632251859897	1.1773197235602897
GNL1	1	0	0	0	-3.5622068886725944	2.594644039085774
KIF20B	1	0	0	0	-3.15198331457343	2.651665730068209
KHDRBS2	1	0	0	1	-2.6780002945991517	0.6548995616638134
ADAP2	1	0	0	0	-2.44836035074176	3.683351034377469
PTBP2	1	1	0	1	-1.1864537612054198	0.6232970478904141
MCM8	1	0	0	0	-2.692186792482479	2.492682245521565
BICD2	1	0	0	0	-0.7866260369481846	2.01686356740529
DBF4	1	0	0	0	-2.9060465841716043	2.6454290102433333
CAP2	1	0	0	0	-1.4660248634936917	1.1256347339507333
DLGAP2	1	0	0	1	-2.299381447710121	0.5472045653600959
TAP2	1	0	0	0	0.31947564636967707	0.41736975030607804
RGS7	1	0	0	1	-1.7271291705117344	0.2996000706468982
SNTG1	1	0	0	0	-2.249574905759075	0.6775820286633312
PCID2	1	0	0	0	-3.8956622986284453	4.311077271565239
ERBIN	1	0	0	1	-1.80325498852109	2.0806251304961547
KAT2B	1	0	0	1	-1.2605403428450708	2.736185741687676
NRXN2	1	0	0	1	-2.704046421359656	0.4323794357274471
SMC4	1	0	0	0	-2.4804655148255503	2.644914623386177
DDX47	1	0	0	0	-3.4721661322045216	2.44534412777529
ATXN10	1	0	0	0	0.19377014694028505	1.9010701765405125
RIMS2	1	0	0	1	-1.9466950068292184	0.5908359846220066
DCAF8	1	0	0	0	-3.314605967388001	3.778487527467542
IQCB1	1	0	0	0	-0.13297639095196834	1.7591192964180289
CKMT1B	1	0	0	0	-1.6282899849293695	-0.14344056108934522
KAT6A	1	0	1	1	-1.3082481439321172	3.384821068059664
AHCTF1	1	0	0	0	-2.3035575629879466	2.1529480467948736
KDM4D	1	0	0	0	-1.2445818949858487	3.078012528875144
LSM14A	1	0	0	0	-2.0386716103462192	2.154314751514523
SKA2	1	0	0	0	-2.5354455000787857	3.0706327156166933
ERICH1	1	0	0	0	-2.3261466961330797	0.22681557671058306
PRKG1	1	1	1	0	-0.9232849295796561	0.8235041864965644
RAD54L	1	0	0	0	-2.696968561534761	2.6269221337962207
CATSPER2	1	0	0	0	-1.969706078814636	0.03218360701784273
SWT1	1	0	0	0	-1.2161755220874162	2.3144014478987764
TIAF1	1	0	0	0	-0.7696940919390012	1.7886976065297424
MYOM2	1	0	0	0	-1.7196945163011317	3.0702286354538133
CACNB2	1	1	0	1	-2.345616072247584	-0.21694837466943406
MAST2	1	0	0	0	-1.2722716560910894	1.2367511638563067
CACNA2D4	1	0	0	0	-2.1815952898494615	-0.27844053139846325
BRIP1	1	0	0	0	-2.638845632025329	2.9663621345133215
CBX4	1	0	0	0	-1.7662355210103982	3.298329446559634
DMXL1	1	0	0	0	-1.482075311382458	2.4160794723704804
AGO2	1	0	0	1	-1.7097160749728193	1.353162532632885
CUL4A	1	0	0	0	-3.7067561018546877	4.03142529948331
ABCF1	1	0	0	0	-3.959033693253108	2.616312772457829
RPIA	1	0	0	0	-3.1225611250437657	2.9446815813715412
MAPKAPK5	1	0	0	0	-1.2489985319737813	1.0492136606345293
SOCS5	1	0	0	0	-1.2547154726492784	2.5466716439608788
PEA15	1	0	0	0	0.15646580991346104	1.5195230467065282
ALDH2	1	0	0	0	1.6316822836754419	3.5787770974346973
PROZ	1	0	0	0	2.224951809373561	2.7040608101966
SOX9	1	0	0	0	1.814969388461737	0.37844611614386725
ALDH1A1	1	0	0	0	1.7916105737742414	2.671394403895193
RDH16	1	0	0	0	1.452818158139618	2.878231571630021
DNALI1	1	0	0	0	1.323898588045189	1.4060475672974218
CYP2A6	1	0	0	0	2.127618554349485	2.3469186100476467
DLEC1	1	0	0	0	1.9078257020471443	1.9700810012540373
SOAT2	1	0	0	0	2.498217758682001	2.573702236622931
F7	1	0	0	0	2.5148037483784957	2.123323505213624
NR5A1	1	0	0	0	1.8316471779716774	1.204470022894776
RSPO1	1	0	0	0	1.7633928712759788	0.0
RSPH4A	1	0	0	0	1.2397333638453905	1.6945854131730873
F10	1	0	0	0	3.407119778164706	2.009862881569224
CCDC40	1	0	0	0	1.6676600819379566	1.6102762905580468
IGFBP6	1	0	0	0	2.8020501618773768	2.8498224720688263
LEPR	1	0	0	0	-1.0000342278573608	-1.0063314331456739
PRKAB2	1	0	0	0	-1.6708645610495205	-1.6645617253264067
RPTOR	1	0	0	0	-2.335443344919988	-2.3291068415279192
NF1	1	0	0	1	-2.993657866173131	-3.0
C1QC	1	0	0	0	3.0	-1.462271303205243
C1QB	1	0	0	0	2.1124175847284077	-1.9427291694792752
IGSF6	1	0	0	0	1.6684550028497847	-2.182610333865066
METTL9	1	0	0	0	1.2191274124218072	-2.412389193450416
